class,filename,old,new
2_front,20251119_132013_100_saved.jpg,2,2
3_left,left (210).jpg,-2,-2
4_right,20260724_201403.jpg,2,1
2_front,20260819_122945.jpg,2,2
3_left,20260731_015603.jpg,2,1
3_left,20260722_133731.jpg,2,1
3_left,20260731_014014.jpg,2,1
4_right,20260809_173921.jpg,-2,-2
3_left,20260731_020211.jpg,2,1
4_right,20260907_210721.jpg,2,1
3_left,left (508).jpg,-2,-2
3_left,20260731_022047.jpg,2,2
2_front,20260731_022025.jpg,2,2
2_front,20251119_163913_009_saved.jpg,-2,-2
4_right,20260907_210542.jpg,2,1
3_left,20260804_182410.jpg,2,2
2_front,20260731_015012.jpg,2,2
4_right,20260731_015826.jpg,2,2
4_right,20260907_211202.jpg,2,1
2_front,20251119_181245.jpg,2,2
2_front,20251119_162009_097_saved.jpg,2,1
2_front,20251119_155329_100_saved.jpg,2,2
2_front,20251119_163913_069_saved.jpg,-2,-1
2_front,20260731_020810.jpg,2,1
2_front,20260731_015823.jpg,2,2
2_front,20260731_022107.jpg,-2,-2
4_right,right (11).jpg,-2,-2
3_left,20260727_151144.jpg,2,2
2_front,20251119_162003_096_saved.jpg,2,1
4_right,20260731_013423.jpg,-2,-2
3_left,left (2630).jpg,-2,-2
2_front,20251119_162002.jpg,2,1
2_front,20251119_163716_065_saved.jpg,-2,-2
2_front,20260808_000203.jpg,2,2
1_approach,20260831_201028.jpg,2,2
1_approach,20260823_161654.jpg,-2,-1
1_approach,20260812_205543.jpg,-2,0
2_front,20251119_132013_100_saved.jpg,2,2
1_approach,20251119_163652.jpg,2,1
3_left,left (210).jpg,-2,-2
1_approach,20260821_193222.jpg,-2,-1
1_approach,20260824_195908.jpg,2,1
4_right,20260724_201403.jpg,1,2
1_approach,20260831_201123.jpg,-2,-2
2_front,20260819_122945.jpg,2,2
1_approach,20260831_201012.jpg,2,2
1_approach,20251120_165640_001_saved.jpg,2,2
1_approach,20260831_200625.jpg,-2,-2
3_left,20260731_015603.jpg,1,1
1_approach,20260831_201252.jpg,-2,-2
1_approach,20260803_203912.jpg,-2,-1
1_approach,20260824_200238.jpg,-2,-2
3_left,20260722_133731.jpg,1,1
1_approach,20251119_155329.jpg,2,1
1_approach,20260823_142756.jpg,-2,-2
1_approach,20260823_160850.jpg,-2,-1
3_left,20260731_014014.jpg,1,1
1_approach,20260831_201415.jpg,-2,-2
4_right,20260809_173921.jpg,-2,-2
3_left,20260731_020211.jpg,1,1
1_approach,left (1).jpg,2,2
4_right,20260907_210721.jpg,1,1
1_approach,20260823_160522.jpg,-2,-1
1_approach,left (2639).jpg,2,2
1_approach,20260831_201310.jpg,2,2
1_approach,20260828_104616.jpg,2,1
1_approach,20260812_205406.jpg,-2,0
1_approach,20260731_014434.jpg,2,2
3_left,left (508).jpg,-2,-2
1_approach,20260823_160946.jpg,-2,-2
1_approach,20260823_143152.jpg,2,2
1_approach,20260803_202423.jpg,-2,-2
3_left,20260731_022047.jpg,2,2
1_approach,20260824_200341.jpg,-2,-2
2_front,20260731_022025.jpg,2,2
2_front,20251119_163913_009_saved.jpg,-2,-1
1_approach,20260827_205637.jpg,-2,-1
4_right,20260907_210542.jpg,1,1
3_left,20260804_182410.jpg,2,2
2_front,20260731_015012.jpg,2,2
4_right,20260731_015826.jpg,2,2
1_approach,20260828_104220.jpg,-2,-2
4_right,20260907_211202.jpg,1,1
1_approach,20260831_201434.jpg,-2,-2
2_front,20251119_181245.jpg,2,1
2_front,20251119_162009_097_saved.jpg,1,1
2_front,20251119_155329_100_saved.jpg,2,2
1_approach,20260828_103723.jpg,-2,-1
1_approach,20260828_104245.jpg,2,2
2_front,20251119_163913_069_saved.jpg,-1,-1
2_front,20260731_020810.jpg,1,1
1_approach,20260724_202646.jpg,-2,-2
1_approach,20251119_131145.jpg,2,2
2_front,20260731_015823.jpg,2,2
1_approach,20260812_205302.jpg,-2,-2
1_approach,20260907_210950.jpg,-2,-1
2_front,20260731_022107.jpg,-2,-2
4_right,right (11).jpg,-2,-2
1_approach,20260831_201322.jpg,2,2
1_approach,20260828_104632.jpg,-2,-1
1_approach,20260823_160802.jpg,2,1
1_approach,20260823_162424.jpg,2,2
1_approach,20260824_195931.jpg,2,1
3_left,20260727_151144.jpg,2,2
2_front,20251119_162003_096_saved.jpg,1,1
1_approach,20260902_165924.jpg,2,1
1_approach,20260828_104135.jpg,2,1
1_approach,20260907_205617.jpg,-2,-1
1_approach,20260823_162335.jpg,-2,-1
4_right,20260731_013423.jpg,-2,-2
1_approach,20260831_200231.jpg,-2,-1
3_left,left (2630).jpg,-2,-2
2_front,20251119_162002.jpg,1,1
1_approach,20251119_132007.jpg,2,1
2_front,20251119_163716_065_saved.jpg,-2,-1
2_front,20260808_000203.jpg,2,1
1_approach,20260831_201238.jpg,-2,-2
