file,label,status
bbox/MP_SEL_B027451.jpg,none,ok
bbox/MP_SEL_B027452.jpg,none,ok
bbox/MP_SEL_B027454.jpg,none,ok
bbox/MP_SEL_B027455.jpg,none,ok
bbox/MP_SEL_B027456.jpg,none,ok
bbox/MP_SEL_B027457.jpg,none,ok
bbox/MP_SEL_B027458.jpg,none,ok
bbox/MP_SEL_B027459.jpg,none,ok
bbox/MP_SEL_B027460.jpg,none,ok
bbox/MP_SEL_B027461.jpg,none,ok
bbox/MP_SEL_B027462.jpg,none,ok
bbox/MP_SEL_B027463.jpg,none,ok
bbox/MP_SEL_B027464.jpg,none,ok
bbox/MP_SEL_B027465.jpg,none,ok
bbox/MP_SEL_B027466.jpg,none,ok
bbox/MP_SEL_B027467.jpg,none,ok
bbox/MP_SEL_B027468.jpg,none,ok
bbox/MP_SEL_B027469.jpg,none,ok
bbox/MP_SEL_B027470.jpg,none,ok
bbox/MP_SEL_B027471.jpg,none,ok
bbox/MP_SEL_B027472.jpg,none,ok
bbox/MP_SEL_B027473.jpg,none,ok
bbox/MP_SEL_B027474.jpg,none,ok
bbox/MP_SEL_B027475.jpg,none,ok
bbox/MP_SEL_B027476.jpg,none,ok
bbox/MP_SEL_B027477.jpg,none,ok
bbox/MP_SEL_B027478.jpg,none,ok
bbox/MP_SEL_B027479.jpg,none,ok
bbox/MP_SEL_B027480.jpg,none,ok
bbox/MP_SEL_B027482.jpg,none,ok
bbox/MP_SEL_B027483.jpg,none,ok
bbox/MP_SEL_B027484.jpg,none,ok
bbox/MP_SEL_B027485.jpg,none,ok
bbox/MP_SEL_B027486.jpg,none,ok
bbox/MP_SEL_B027487.jpg,none,ok
bbox/MP_SEL_B027488.jpg,none,ok
bbox/MP_SEL_B027489.jpg,none,ok
bbox/MP_SEL_B027490.jpg,none,ok
bbox/MP_SEL_B027491.jpg,none,ok
bbox/MP_SEL_B027492.jpg,none,ok
bbox/MP_SEL_B027493.jpg,none,ok
bbox/MP_SEL_B027495.jpg,none,ok
