file,zone,status
20260708_203305.jpg,on_crosswalk,ok
20260708_203311.jpg,on_crosswalk,ok
20260708_203334.jpg,on_crosswalk,ok
20260708_203344.jpg,on_crosswalk,ok
20260709_201944.jpg,on_crosswalk,ok
20260709_202953.jpg,on_crosswalk,ok
20260709_203041.jpg,on_crosswalk,ok
20260719_141740.jpg,on_crosswalk,ok
20260722_133658.jpg,on_crosswalk,ok
20260722_133707.jpg,on_crosswalk,ok
20260722_133710.jpg,on_crosswalk,ok
20260722_133728.jpg,on_crosswalk,ok
20260722_133731.jpg,on_crosswalk,ok
20260724_180436.jpg,on_crosswalk,ok
20260724_190451.jpg,on_crosswalk,ok
20260724_201327.jpg,on_crosswalk,ok
20260724_201426.jpg,on_crosswalk,ok
20260724_201427.jpg,on_crosswalk,ok
20260724_202157.jpg,on_crosswalk,ok
20260724_202159.jpg,on_crosswalk,ok
20260724_202446.jpg,on_crosswalk,ok
20260724_202718.jpg,on_crosswalk,ok
20260727_151140.jpg,on_crosswalk,ok
20260727_151144.jpg,on_crosswalk,ok
20260727_151146.jpg,on_crosswalk,ok
20260730_190446.jpg,on_crosswalk,ok
20260730_190448.jpg,on_crosswalk,ok
20260731_012051.jpg,on_crosswalk,ok
20260731_012230.jpg,on_crosswalk,ok
20260731_012403.jpg,on_crosswalk,ok
20260731_012428.jpg,on_crosswalk,ok
20260731_012620.jpg,on_crosswalk,ok
20260731_012633.jpg,on_crosswalk,ok
20260731_012912.jpg,on_crosswalk,ok
20260731_013103.jpg,on_crosswalk,ok
20260731_013835.jpg,on_crosswalk,ok
20260731_013848.jpg,on_crosswalk,ok
20260731_014014.jpg,on_crosswalk,ok
20260731_014842.jpg,on_crosswalk,ok
20260731_014851.jpg,on_crosswalk,ok
20260731_014958.jpg,on_crosswalk,ok
20260731_015123.jpg,on_crosswalk,ok
20260731_015244.jpg,on_crosswalk,ok
20260731_015308.jpg,on_crosswalk,ok
20260731_015603.jpg,on_crosswalk,ok
20260731_015643.jpg,on_crosswalk,ok
20260731_015831.jpg,on_crosswalk,ok
20260731_020033.jpg,on_crosswalk,ok
20260731_020211.jpg,on_crosswalk,ok
20260731_020847.jpg,on_crosswalk,ok
20260731_021434.jpg,on_crosswalk,ok
20260731_022047.jpg,on_crosswalk,ok
20260731_022112.jpg,on_crosswalk,ok
20260731_022547.jpg,on_crosswalk,ok
20260804_182410.jpg,on_crosswalk,ok
20260805_202408.jpg,on_crosswalk,ok
20260805_202411.jpg,on_crosswalk,ok
20260805_202442.jpg,on_crosswalk,ok
20260805_202450.jpg,on_crosswalk,ok
20260806_203443.jpg,on_crosswalk,ok
20260806_203447.jpg,on_crosswalk,ok
20260809_172943.jpg,on_crosswalk,ok
20260809_173618.jpg,on_crosswalk,ok
20260809_173925.jpg,on_crosswalk,ok
20260812_203835.jpg,on_crosswalk,ok
20260812_205304.jpg,on_crosswalk,ok
20260812_205410.jpg,on_crosswalk,ok
20260823_160903.jpg,on_crosswalk,ok
20260823_161829.jpg,on_crosswalk,ok
20260824_184815.jpg,on_crosswalk,ok
20260824_184901.jpg,on_crosswalk,ok
20260824_195734.jpg,on_crosswalk,ok
20260824_200139.jpg,on_crosswalk,ok
20260828_104623.jpg,on_crosswalk,ok
20260831_200450.jpg,on_crosswalk,ok
20260831_201016.jpg,on_crosswalk,ok
20260831_201159.jpg,on_crosswalk,ok
20260831_201245.jpg,on_crosswalk,ok
20260831_201313.jpg,on_crosswalk,ok
20260831_201325.jpg,on_crosswalk,ok
20260831_201420.jpg,on_crosswalk,ok
20260831_201440.jpg,on_crosswalk,ok
20260902_165849.jpg,on_crosswalk,ok
20260902_165851.jpg,on_crosswalk,ok
20260902_165932.jpg,on_crosswalk,ok
20260902_165942.jpg,on_crosswalk,ok
20260902_170359.jpg,on_crosswalk,ok
20260902_170405.jpg,on_crosswalk,ok
20260904_161730.jpg,on_crosswalk,ok
20260904_161733.jpg,on_crosswalk,ok
20260904_161813.jpg,on_crosswalk,ok
20260904_161814.jpg,on_crosswalk,ok
20260904_161820.jpg,on_crosswalk,ok
20260904_170802.jpg,on_crosswalk,ok
20260904_170803.jpg,on_crosswalk,ok
20260904_170830.jpg,on_crosswalk,ok
20260904_170831.jpg,on_crosswalk,ok
20260904_170845.jpg,on_crosswalk,ok
20260904_170847.jpg,on_crosswalk,ok
20260904_172132.jpg,on_crosswalk,ok
20260904_172133.jpg,on_crosswalk,ok
20260904_172204.jpg,on_crosswalk,ok
20260907_205239.jpg,on_crosswalk,ok
20260907_205240.jpg,on_crosswalk,ok
20260907_205241.jpg,on_crosswalk,ok
20260907_205246.jpg,on_crosswalk,ok
20260907_205442.jpg,on_crosswalk,ok
20260907_205457.jpg,on_crosswalk,ok
20260907_205509.jpg,on_crosswalk,ok
20260907_205647.jpg,on_crosswalk,ok
20260907_205703.jpg,on_crosswalk,ok
20260907_205809.jpg,on_crosswalk,ok
