class,filename,position,status
on_surface,surf_Surface_001_MP_SEL_SUR_000036.jpg,1,ok
on_surface,surf_Surface_002_MP_SEL_SUR_000144.jpg,0,ok
on_surface,surf_Surface_003_MP_SEL_SUR_000312.jpg,0,ok
on_surface,surf_Surface_004_MP_SEL_SUR_000390.jpg,0,ok
on_surface,surf_Surface_004_MP_SEL_SUR_000396.jpg,2,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000493.jpg,-2,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000494.jpg,0,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000567.jpg,0,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000571.jpg,-1,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000574.jpg,0,ok
on_surface,surf_Surface_006_MP_SEL_SUR_000621.jpg,2,ok
on_surface,surf_Surface_006_MP_SEL_SUR_000643.jpg,0,ok
on_surface,surf_Surface_006_MP_SEL_SUR_000701.jpg,0,ok
on_surface,surf_Surface_007_MP_SEL_SUR_000727.jpg,-2,ok
on_surface,surf_Surface_007_MP_SEL_SUR_000748.jpg,0,ok
on_surface,surf_Surface_007_MP_SEL_SUR_000839.jpg,0,ok
on_surface,surf_Surface_008_MP_SEL_SUR_000957.jpg,0,ok
on_surface,surf_Surface_009_MP_SEL_SUR_001003.jpg,0,ok
on_surface,surf_Surface_009_MP_SEL_SUR_001011.jpg,0,ok
on_surface,surf_Surface_010_MP_SEL_SUR_001086.jpg,0,ok
on_surface,surf_Surface_010_MP_SEL_SUR_001163.jpg,1,ok
on_surface,surf_Surface_010_MP_SEL_SUR_001181.jpg,2,ok
on_surface,surf_Surface_011_MP_SEL_SUR_001277.jpg,0,ok
on_surface,surf_Surface_012_MP_SEL_SUR_001387.jpg,1,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001453.jpg,0,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001492.jpg,0,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001505.jpg,0,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001536.jpg,-2,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001547.jpg,0,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001555.jpg,0,ok
on_surface,surf_Surface_014_MP_SEL_SUR_001666.jpg,0,ok
on_surface,surf_Surface_015_MP_SEL_SUR_001726.jpg,1,ok
on_surface,surf_Surface_015_MP_SEL_SUR_001743.jpg,-1,ok
on_surface,surf_Surface_017_MP_SEL_SUR_001964.jpg,0,ok
on_surface,surf_Surface_017_MP_SEL_SUR_001983.jpg,0,ok
on_surface,surf_Surface_017_MP_SEL_SUR_002029.jpg,0,ok
on_surface,surf_Surface_018_MP_SEL_SUR_002065.jpg,0,ok
on_surface,surf_Surface_018_MP_SEL_SUR_002097.jpg,0,ok
on_surface,surf_Surface_018_MP_SEL_SUR_002111.jpg,-2,ok
on_surface,surf_Surface_019_MP_SEL_SUR_002207.jpg,1,ok
on_surface,surf_Surface_019_MP_SEL_SUR_002210.jpg,,skipped
on_surface,surf_Surface_019_MP_SEL_SUR_002214.jpg,0,ok
on_surface,surf_Surface_019_MP_SEL_SUR_002254.jpg,-1,ok
on_surface,surf_Surface_020_MP_SEL_SUR_002308.jpg,0,ok
on_surface,surf_Surface_021_MP_SEL_SUR_002424.jpg,0,ok
on_surface,surf_Surface_021_MP_SEL_SUR_002441.jpg,0,ok
on_surface,surf_Surface_022_MP_SEL_SUR_002526.jpg,0,ok
on_surface,surf_Surface_023_MP_SEL_SUR_002677.jpg,-2,ok
on_surface,surf_Surface_023_MP_SEL_SUR_002695.jpg,0,ok
on_surface,surf_Surface_024_MP_SEL_SUR_002766.jpg,0,ok
on_surface,surf_Surface_024_MP_SEL_SUR_002767.jpg,0,ok
on_surface,surf_Surface_024_MP_SEL_SUR_002826.jpg,2,ok
on_surface,surf_Surface_025_MP_SEL_SUR_002998.jpg,1,ok
on_surface,surf_Surface_025_MP_SEL_SUR_003003.jpg,0,ok
on_surface,surf_Surface_026_MP_SEL_SUR_003008.jpg,0,ok
on_surface,surf_Surface_026_MP_SEL_SUR_003043.jpg,0,ok
on_surface,surf_Surface_027_MP_SEL_SUR_003093.jpg,0,ok
on_surface,surf_Surface_027_MP_SEL_SUR_003138.jpg,0,ok
on_surface,surf_Surface_028_MP_SEL_SUR_003177.jpg,0,ok
on_surface,surf_Surface_031_MP_SEL_SUR_003406.jpg,0,ok
on_surface,surf_Surface_031_MP_SEL_SUR_003412.jpg,-2,ok
on_surface,surf_Surface_032_MP_SEL_SUR_003513.jpg,0,ok
on_surface,surf_Surface_033_MP_SEL_SUR_003637.jpg,0,ok
on_surface,surf_Surface_033_MP_SEL_SUR_003639.jpg,0,ok
on_surface,surf_Surface_034_MP_SEL_SUR_003698.jpg,1,ok
on_surface,surf_Surface_034_MP_SEL_SUR_003721.jpg,0,ok
on_surface,surf_Surface_035_MP_SEL_SUR_003741.jpg,2,ok
on_surface,surf_Surface_035_MP_SEL_SUR_003796.jpg,0,ok
on_surface,surf_Surface_036_MP_SEL_SUR_003815.jpg,0,ok
on_surface,surf_Surface_037_MP_SEL_SUR_003915.jpg,0,ok
on_surface,surf_Surface_037_MP_SEL_SUR_003952.jpg,0,ok
on_surface,surf_Surface_037_MP_SEL_SUR_003965.jpg,2,ok
on_surface,surf_Surface_038_MP_SEL_SUR_003975.jpg,-1,ok
on_surface,surf_Surface_038_MP_SEL_SUR_004011.jpg,0,ok
on_surface,surf_Surface_038_MP_SEL_SUR_004020.jpg,-1,ok
on_surface,surf_Surface_039_MP_SEL_SUR_004117.jpg,0,ok
on_surface,surf_Surface_040_MP_SEL_SUR_004198.jpg,0,ok
on_surface,surf_Surface_041_MP_SEL_SUR_004254.jpg,0,ok
on_surface,surf_Surface_041_MP_SEL_SUR_004255.jpg,-1,ok
on_surface,surf_Surface_041_MP_SEL_SUR_004265.jpg,,skipped
on_surface,surf_Surface_043_MP_SEL_SUR_004432.jpg,2,ok
on_surface,surf_Surface_044_MP_SEL_SUR_004460.jpg,0,ok
on_surface,surf_Surface_044_MP_SEL_SUR_004471.jpg,-2,ok
on_surface,surf_Surface_044_MP_SEL_SUR_004503.jpg,0,ok
on_surface,surf_Surface_045_MP_SEL_SUR_004534.jpg,0,ok
on_surface,surf_Surface_046_MP_SEL_SUR_004608.jpg,0,ok
on_surface,surf_Surface_046_MP_SEL_SUR_004680.jpg,0,ok
on_surface,surf_Surface_047_MP_SEL_SUR_004748.jpg,0,ok
on_surface,surf_Surface_047_MP_SEL_SUR_004757.jpg,0,ok
on_surface,surf_Surface_048_MP_SEL_SUR_004772.jpg,0,ok
on_surface,surf_Surface_048_MP_SEL_SUR_004774.jpg,0,ok
on_surface,surf_Surface_049_MP_SEL_SUR_004858.jpg,0,ok
on_surface,surf_Surface_049_MP_SEL_SUR_004880.jpg,0,ok
on_surface,surf_Surface_049_MP_SEL_SUR_004882.jpg,0,ok
on_surface,surf_Surface_050_MP_SEL_SUR_004967.jpg,1,ok
on_surface,surf_Surface_051_MP_SEL_SUR_005069.jpg,0,ok
on_surface,surf_Surface_051_MP_SEL_SUR_005087.jpg,0,ok
on_surface,surf_Surface_052_MP_SEL_SUR_005140.jpg,0,ok
on_surface,surf_Surface_053_MP_SEL_SUR_005193.jpg,0,ok
on_surface,surf_Surface_054_MP_SEL_SUR_005271.jpg,0,ok
on_surface,surf_Surface_054_MP_SEL_SUR_005276.jpg,0,ok
on_surface,surf_Surface_054_MP_SEL_SUR_005277.jpg,0,ok
on_surface,surf_Surface_054_MP_SEL_SUR_005295.jpg,1,ok
on_surface,surf_Surface_055_MP_SEL_SUR_005321.jpg,0,ok
on_surface,surf_Surface_055_MP_SEL_SUR_005323.jpg,0,ok
on_surface,surf_Surface_056_MP_SEL_SUR_005400.jpg,0,ok
on_surface,surf_Surface_057_MP_SEL_SUR_005450.jpg,0,ok
on_surface,surf_Surface_060_MP_SEL_SUR_005600.jpg,0,ok
on_surface,surf_Surface_062_MP_SEL_SUR_005657.jpg,0,ok
on_surface,surf_Surface_062_MP_SEL_SUR_005665.jpg,-2,ok
on_surface,surf_Surface_062_MP_SEL_SUR_005676.jpg,-2,ok
on_surface,surf_Surface_062_MP_SEL_SUR_005694.jpg,0,ok
on_surface,surf_Surface_064_MP_SEL_SUR_005771.jpg,,skipped
