file,zone,cw_area,y_top,y_bot,sidewalk_area
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000001.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000002.jpg,none,0.0,,,0.2559
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000003.jpg,none,0.0,,,0.9013
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000004.jpg,none,0.0,,,0.7891
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000005.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000006.jpg,none,0.0,,,0.9828
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000007.jpg,none,0.0,,,0.0139
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000008.jpg,none,0.0,,,0.9178
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000009.jpg,none,0.0,,,0.9743
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000010.jpg,none,0.0,,,0.9681
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000011.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000012.jpg,none,0.0,,,0.89
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000013.jpg,none,0.0,,,0.9303
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000014.jpg,none,0.0,,,0.9368
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000015.jpg,none,0.0,,,1.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000016.jpg,none,0.0,,,0.3847
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000017.jpg,none,0.0,,,0.9472
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000018.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000019.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000020.jpg,none,0.0,,,0.9901
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000021.jpg,none,0.0,,,0.7395
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000022.jpg,none,0.0,,,0.793
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000023.jpg,none,0.0,,,0.1454
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000024.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000025.jpg,none,0.0,,,0.0105
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000026.jpg,none,0.0,,,0.8579
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000027.jpg,none,0.0,,,0.9316
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000028.jpg,none,0.0,,,0.0579
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000029.jpg,none,0.0,,,0.941
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000030.jpg,none,0.0,,,0.9985
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000031.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000032.jpg,none,0.0,,,0.9524
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000033.jpg,on,0.7501,0.015,0.926,0.1633
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000034.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000035.jpg,none,0.0,,,0.9184
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000036.jpg,on,0.9951,0.0,1.0,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000037.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000038.jpg,none,0.0,,,0.9747
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000039.jpg,approach,0.4313,0.0,0.637,0.3732
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000040.jpg,none,0.0,,,0.9939
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000041.jpg,none,0.0,,,0.9008
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000042.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000043.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000044.jpg,none,0.0,,,1.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000045.jpg,none,0.0,,,0.9249
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000046.jpg,none,0.0,,,0.9999
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000047.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000048.jpg,none,0.0,,,0.6612
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000049.jpg,none,0.0,,,0.9472
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000050.jpg,none,0.0,,,0.6042
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000051.jpg,none,0.0,,,0.6919
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000052.jpg,none,0.0,,,0.6801
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000053.jpg,none,0.0,,,0.705
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000054.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000055.jpg,none,0.0,,,0.8433
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000056.jpg,none,0.0,,,0.93
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000057.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000058.jpg,none,0.0,,,0.6467
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000059.jpg,none,0.0,,,0.9355
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000060.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000061.jpg,none,0.0,,,0.0094
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000062.jpg,none,0.0,,,0.8348
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000063.jpg,none,0.0,,,0.863
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000064.jpg,none,0.0,,,0.9468
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000065.jpg,none,0.0,,,0.8874
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000066.jpg,approach,0.7661,0.0,0.8,0.2329
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000067.jpg,none,0.0,,,0.8546
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000068.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000069.jpg,none,0.0,,,0.7734
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000070.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000071.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000072.jpg,none,0.0,,,0.925
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000073.jpg,none,0.0,,,0.9829
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000074.jpg,none,0.0,,,0.7441
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000075.jpg,none,0.0,,,0.8818
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000076.jpg,none,0.0,,,0.0103
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000077.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000078.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000079.jpg,none,0.0,,,0.927
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000080.jpg,none,0.0,,,0.8342
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000081.jpg,none,0.0,,,0.4094
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000082.jpg,none,0.0,,,0.9937
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000083.jpg,none,0.0,,,0.9913
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000084.jpg,on,0.575,0.0,1.0,0.2544
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000085.jpg,none,0.0,,,0.8394
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000086.jpg,none,0.0,,,0.6948
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000087.jpg,none,0.0,,,0.9902
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000088.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000089.jpg,none,0.0,,,0.8334
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000090.jpg,none,0.0,,,1.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000091.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000092.jpg,none,0.0,,,0.7832
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000093.jpg,none,0.0,,,1.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000094.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000095.jpg,none,0.0,,,0.9973
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000096.jpg,none,0.0,,,0.8664
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000097.jpg,none,0.0,,,0.9133
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000098.jpg,none,0.0,,,0.971
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000099.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000100.jpg,none,0.0,,,0.83
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000101.jpg,none,0.0,,,0.9253
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000102.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000103.jpg,none,0.0,,,0.8645
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000104.jpg,none,0.0,,,0.9666
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000105.jpg,none,0.0,,,0.9206
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000106.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000107.jpg,none,0.0,,,0.9203
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000108.jpg,none,0.0,,,0.9169
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000109.jpg,none,0.0,,,0.7565
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000110.jpg,none_far,0.4107,0.007,0.578,0.5281
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000111.jpg,none,0.0,,,0.9627
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000112.jpg,none,0.0,,,0.9998
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000114.jpg,none,0.0,,,0.0
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000115.jpg,none,0.0,,,0.971
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000116.jpg,none,0.0,,,0.919
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000117.jpg,none,0.0,,,0.8142
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000118.jpg,none,0.0,,,0.8805
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000119.jpg,none_far,0.022,0.0,0.022,0.0003
aihub_raw/surface/Surface_1/Surface_001/MP_SEL_SUR_000120.jpg,none,0.0,,,0.0081
aihub_raw/surface/Surface_1/Surface_002/MP_SEL_SUR_000121.jpg,none,0.0,,,0.8856
aihub_raw/surface/Surface_1/Surface_002/MP_SEL_SUR_000122.jpg,none,0.0,,,0.9963
aihub_raw/surface/Surface_1/Surface_002/MP_SEL_SUR_000123.jpg,none,0.0,,,0.7823
aihub_raw/surface/Surface_1/Surface_002/MP_SEL_SUR_000124.jpg,none,0.0,,,0.0216
aihub_raw/surface/Surface_1/Surface_002/MP_SEL_SUR_000125.jpg,none,0.0,,,0.9962
aihub_raw/surface/Surface_1/Surface_002/MP_SEL_SUR_000126.jpg,none,0.0,,,0.8333
aihub_raw/surface/Surface_1/Surface_002/MP_SEL_SUR_000127.jpg,none,0.0,,,0.0
